
Last update: 02/12/2025 23:06
Senior Men's Foil
	
02/12/2025 23:06
	07 Dec 25 	06 Dec 25 	30 Nov 25 	09 Nov 25 	09 Nov 25 	02 Nov 25 	26 Oct 25 	19 Oct 25 	19 Oct 25 	05 Oct 25 	05 Oct 25 	28 Sep 25 	28 Sep 25 	28 Sep 25 	21 Sep 25 	07 Sep 25 	07 Sep 25 	24 Aug 25 	30 Jul 25 	27 Jul 25 	06 Jul 25 	22 Jun 25 	21 Jun 25 	19 Jun 25 	15 Jun 25 	15 Jun 25 	17 May 25 	11 May 25 	04 May 25 	26 Apr 25 	20 Apr 25 	13 Apr 25 	06 Apr 25 	30 Mar 25 	23 Mar 25 	16 Mar 25 	16 Mar 25 	09 Mar 25 	16 Feb 25 	09 Feb 25 	09 Feb 25 	26 Jan 25 	26 Jan 25 	12 Jan 25 	05 Jan 25
Rank 	Name 	YEAR of Birth 	Club 	Licence 	Total Points 	Domestic 	International
FIE Senior (Fukuoka) 	London Regions CAPITAL OPEN 2025 	Lancaster Winter Open 	FIE Senior (Palma De Mallorca) 	Welsh Open 2025 	Hampshire Open 	FIE Senior (Barcelona) 	FIE Senior (Samorin) 	EFC Eurofence (Bratislava) 	EFC Senior (Antony) 	FIE Senior (Rio de Janeiro) 	FIE Senior (Amsterdam) 	RAF OPEN 2025 	Highland Open 2025 	FIE Senior (Timisoara) 	FIE Senior (Manama) 	Shropshire Open 2025 BF Ranking Event 	St Benedict's Senior Open 	FIE Senior (Tbilisi) 	Norfolk Open 	British Open Senior Championships 2025 	Cardiff Foil Open 	FCL Foil Open 2025 	FIE Senior (Euro) 	Lancaster Summer Open 	Exeter Open 2025 	FIE GP (Shanghai) 	EFC U23 (Budapest) 	FIE Senior (Vancouver) 	British Senior Championships 2025 (Individual Events) 	Birmingham International Fencing Tournament 2025 	EFC U23 (Zagreb) 	Glasgow Open 	York Open Tournament 	FIE GP (Lima) 	EFC U23 (Brno) 	Invicta Open 	FIE Senior (Cairo) 	Merseyside Open Fencing Tournament 	FIE GP (Turin) 	11th Leon Paul Foil Open 	Warwick Open 2025 	Northern Ireland Open 2025 	FIE Senior (Paris) 	Cambridge Winter Tournament
Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint 	Rank 	realPoint
1 	COOK Jaimie 	2005 	Salle Holyrood 	119963 	167550 	12000 	1 	155550 	4 	15 	54350 					32 	37500 					68 	2504 									1 	20000 													51 	21360 									29 	18600 					27 	31400 			45 	18500 	1 	12000 															23 	32300 			43 	18750 							220 	600 		
2 	SOSNOV David 	2006 	ZFW Fencing Club 	125439 	117100 	0 	0 	117100 	4 	9 	64800 					65 	15900 															53 	4420 													133 	1 									42 	11340 									50 	17900 																	75 	5600 			45 	18500 							65 	6450 		
3 	WILLIAMS David 	2002 	ZFW Fencing Club 	139949 	96825 	15761 	2 	81064 	4 	156 	1050 					136 	1400 					71 	2464 	11 	10184 							38 	6300 					34 	5144 							48 	21780 									61 	1 					157 	1000 			100 	4000 	3 	8856 	2 	6905 							70 	6000 					28 	31200 			50 	17900 							141 	1250 		
4 	DONAGHUE Joe 	2003 	ZFW Fencing Club 	127614 	75748 	19574 	2 	56174 	4 	153 	1050 					179 	850 					19 	7680 	6 	11544 			1 	16000 			12 	12630 					1 	16000 											1 	14000 			3 	3867 													11 	5574 	12 	3685 													101 	3950 			95 	4300 							118 	3050 		
5 	BIRD Harry 	1998 	ZFW Fencing Club 	99978 	66386 	17520 	2 	48866 	4 	152 	1050 					200 	750 					9 	10368 	9 	10368 			77 	2392 			17 	9730 																	3 	10332 											90 	4600 			97 	4150 	6 	7188 	3 	5918 							46 	18400 					93 	4400 			133 	1500 							157 	1000 		
6 	MINOTT Kamal 	1997 	Fencers Club London 	97336 	59766 	8856 	1 	50910 	4 	157 	1000 					163 	950 					15 	8696 	23 	7504 							55 	4370 													71 	7140 									12 	27570 					94 	4350 			87 	4800 	3 	8856 									103 	3850 					122 	2900 			89 	4650 							180 	850 		
7 	TOFALIDES alexander 	1993 	The Lansdowne Fencing Club 	131718 	49972 	8020 	1 	41952 	3 																															9 	2592 					54 	21000 									31 	18360 													1 	8020 																												
8 	LONSDALE William 	2002 	Fencers Club London 	120392 	39985 	22097 	3 	17888 	3 							184 	850 							36 	5088 	33 	2584 					49 	4510 																	2 	12054 			1 	5240 													22 	3906 	6 	4803 													88 	4700 			65 	6450 							66 	6350 		
9 	RHYS POLLITT Rafael 	2003 	Fencers Club London 	120269 	39492 	14924 	2 	24568 	4 	191 	800 					234 	1 					62 	3392 					44 	4904 			21 	9490 					25 	6224 											21 	4592 											186 	1 			101 	3950 	2 	10332 	9 	3817 													151 	1050 			145 	1150 							181 	850 		
10 	GUENNOU Louis 	2001 	Fencers Club London 	115411 	38865 	16897 	3 	21968 	3 	186 	800 											12 	10104 	103 	920 	2 	7000 	98 	968 			52 	4440 					46 	4864 											10 	6580 			10 	2462 							162 	950 			158 	1000 	12 	5514 	6 	4803 							97 	4150 											3 	2789 								
11 	PENMAN Callum 	2006 	Salle Holyrood 	131526 	38110 	13250 	2 	24860 	4 	99 	6000 							1 	6260 			69 	2488 					7 	11400 			69 	3110 																																	94 	4350 	8 	6990 															126 	2700 											133 	1500 		
