1 20.00 33 6.46 65 3.18 97 1.22
2 17.50 34 6.43 66 3.16 98 1.21
3 16.00 35 6.40 67 3.15 99 1.20
3 16.00 36 6.36 68 3.13 100 1.18
5 14.64 37 6.33 69 3.11 101 1.17
6 14.43 38 6.30 70 3.10 102 1.16
7 14.25 39 6.27 71 3.08 103 1.15
8 14.10 40 6.24 72 3.06 104 1.14
9 12.96 41 6.21 73 3.05 105 1.13
10 12.84 42 6.19 74 3.03 106 1.12
11 12.73 43 6.16 75 3.02 107 1.11
12 12.63 44 6.13 76 3.00 108 1.10
13 11.04 45 6.11 77 2.99 109 1.09
14 10.95 46 6.08 78 2.97 110 1.07
15 10.87 47 6.06 79 2.96 111 1.06
16 10.80 48 6.03 80 2.94 112 1.05
17 9.73 49 4.51 81 2.93 113 1.04
18 9.66 50 4.48 82 2.91 114 1.03
19 9.60 51 4.46 83 2.90 115 1.02
20 9.54 52 4.44 84 2.89 116 1.01
21 9.49 53 4.42 85 2.87 117 1.00
22 9.43 54 4.40 86 2.86 118 0.99
23 9.38 55 4.37 87 2.85 119 0.98
24 9.33 56 4.35 88 2.83 120 0.97
25 7.78 57 4.33 89 2.82 121 0.96
26 7.74 58 4.31 90 2.81 122 0.96
27 7.70 59 4.29 91 2.79 123 0.95
28 7.65 60 4.27 92 2.78 124 0.94
29 7.61 61 4.26 93 2.77 125 0.93
30 7.57 62 4.24 94 2.76 126 0.92
31 7.54 63 4.22 95 2.74 127 0.91
32 7.50 64 4.20 96 2.73 128 0.90
` Page 10 of 24Version 1.33
3.7.2 Places from 129
Place Multiplier Place Multiplier Place Multiplier Place Multiplier
129 0.40 137 0.26 145 0.23 153 0.21
130 0.36 138 0.26 146 0.22 154 0.21
131 0.33 139 0.26 147 0.22 155 0.21
132 0.32 140 0.25 148 0.22 156 0.21
133 0.30 141 0.25 149 0.22 157 0.20
134 0.29 142 0.25 150 0.22 158 0.20
135 0.29 143 0.24 151 0.21 159 0.20
136 0.28 144 0.24 152 0.21 160 0.20
Places Multiplier Places Multiplier
161 to 168 0.19 225 to 240 0.11
169 to 176 0.18 241 to 256 0.10
177 to 184 0.17 257 to 278 0.09
185 to 192 0.16 279 to 310 0.08
193 to 200 0.15 311 to 342 0.07
201 to 208 0.14 343 to 374 0.06
209 to 216 0.13 375 to 406 0.05
217 to 224 0.12 407 to 424 0.04
